fecha,turno,activo,pais,identificador_orbita,norad,frecuencia,velocidad_km_s,argumento_perigeo_deg,perigeo_km,apogeo_km,altitud_km,paso_inicio_hl,paso_fin_hl,estado,tle1,tle2
2026-09-05,07:00-23:00,GALAPAGOS-UTE,ECUADOR,3848,67279,437.050Mhz(dwl),7.59,85.89,491,512,530.0,08:11,08:23,ACTIVO,1 67279U 25313AH 26248.15075620 .00003701 00000-0 15644-3 0 9997,2 67279 97.3860 321.5269 0015402 84.2343 276.0649 15.23744689 38127
2026-09-05,07:00-23:00,AMAZONIA 1,BRASIL,29036,47699,,7.46,98.43,761,765,758.0,10:38,10:51,ACTIVO,1 47699U 21015A 26248.15915745 .00000065 00000-0 33879-4 0 9998,2 47699 98.4252 319.6682 0002337 341.6882 18.4223 14.40843133290168
2026-09-05,07:00-23:00,NEE-01,ECUADOR,72275,39151,910 Mhz,7.56,258.92,585,600,592.0,16:02,16:13,INACTIVO,1 39151U 13018B 26248.37711302 .00001118 00000-0 11063-3 0 9993,2 39151 98.1337 35.2498 0011043 258.9204 101.0773 14.93988296722674
2026-09-05,07:00-23:00,FASAT-C,CHILE,79726,38011,,7.53,91.7,627,629,649.0,21:55,22:02,ACTIVO,1 38011U 11076E 26248.87879500 .00000704 00000-0 93822-4 0 9993,2 38011 97.7992 307.3331 0001382 91.6996 23.8775 14.82645316796332
2026-09-06,07:00-23:00,AMAZONIA 1,BRASIL,29051,47699,,7.48,337.54,761,764,769.0,09:59,10:11,ACTIVO,1 47699U 21015A 26249.13137345 .00000069 00000-0 35029-4 0 9992,2 47699 98.4251 320.6260 0002275 337.5385 22.5704 14.40843406290303
2026-09-06,07:00-23:00,PERUSAT-01,PERU,53114,41770,,7.49,85.58,704,706,719.0,10:39,10:52,ACTIVO,1 41770U 16058A 26249.32406337 .00000118 00000-0 35248-4 0 9996,2 41770 98.1959 321.8998 0001464 85.5754 274.5613 14.58554316530920
2026-09-06,07:00-23:00,GALAPAGOS-UTE,ECUADOR,3864,67279,437.050Mhz(dwl),7.63,84.23,491,512,496.0,11:17,11:27,ACTIVO,1 67279U 25313AH 26248.15075620 .00003701 00000-0 15644-3 0 9997,2 67279 97.3860 321.5269 0015402 84.2343 276.0649 15.23744689 38127
2026-09-06,07:00-23:00,NEE-02,ECUADOR,68833,39441,980 Mhz,7.5,162.34,569,661,654.0,13:33,13:45,INACTIVO,1 39441U 13066AB 26249.30688231 .00000858 00000-0 98664-4 0 9999,2 39441 97.8925 187.9731 0066046 162.3371 198.0162 14.86884832688252
2026-09-07,07:00-23:00,PERUSAT-01,PERU,53114,41770,,7.51,84.6,704,706,702.05,10:52,10:54,ACTIVO,1 41770U 16058A 26250.28448712 -.00000028 00000-0 38433-5 0 9997,2 41770 98.1961 322.8468 0001441 84.6039 275.5325 14.58554064531064
2026-09-07,07:00-23:00,GALAPAGOS-UTE,ECUADOR,3848,67279,437.050Mhz(dwl),7.61,77.82,491,512,501.13,11:15,11:25,ACTIVO,1 67279U 25313AH 26250.18650801 .00004640 00000-0 19525-3 0 9998,2 67279 97.3864 323.5312 0015321 77.8157 282.4795 15.23765239 38434
2026-09-07,07:00-23:00,NEE-01,ECUADOR,72306,39151,910 Mhz,7.57,252.65,585,600,586.49,16:00,16:20,INACTIVO,1 39151U 13018B 26250.11848600 .00001258 00000-0 12376-3 0 9993,2 39151 98.1340 37.0521 0011163 252.6469 107.3529 14.93992681722932
2026-09-07,07:00-23:00,SAOCOM 1B,ARGENTINA,32575,46265,,7.54,84.68,629,631,630.6,16:37,16:41,ACTIVO,1 46265U 20059A 26250.59764741 -.00000159 00000-0 -13382-4 0 9995,2 46265 97.8909 75.2612 0001425 84.2451 275.8925 14.82159984325690
